product_code,brand,ad_name,family,colorway,tier,is_primary_listing,restockable,notes
5920355988,askalabel,"Basic Sada by Aska Label - Gamis polos dengan kantong dan busui friendly bahan crepe warna putih offwhite, hitam black, maroon burgundy, abu taupe, ungu lilac, dusty pink mauve, navy [9]",sada,,,,,
3106819676,askalabel,"Basic Sada by Aska Label - Gamis polos dengan kantong dan busui friendly bahan crepe warna putih offwhite, hitam black, hijau sage, abu muda, pink, peach, milo tan [7]",sada,,,,,
20249611186,askalabel,"Maula by Aska Label - Tunik wanita full kancing atasan blouse Muslim lengan panjang dengan detail kerut pada lengan warna Dusty Blue, ungu Lilac, Plum, Dark Grey [9]",maula,,,,,
25314624813,askalabel,Raka by Aska Label - Gamis wanita pleats busui friendly dress wanita dengan details kerut tangan [6],raka,,,,,
5354991315,askalabel,"Adani by Aska Label - Kaos polos wanita Muslim lengan panjang warna hitam, biru navy, abu muda, hijau dark green, abu misty, abu gelap [7]",adani,,,,,
25839381904,askalabel,Mahreen by Aska Label - Gamis rayon umroh wanita dengan cutting loose dengan kancing depan busui friendly dan kancing lengan yang wudhu friendly,mahreen,,,,,
18865412383,askalabel,"Reska Skirt by Aska Label - Rok wanita pleats rok plisket pinggang full karet warna pink mauve, abu tua dark grey, hitam black [7]",reska,,,,,
3106979876,askalabel,"Basic Sada by Aska Label - Gamis polos dengan kantong dan busui friendly bahan crepe warna putih offwhite, hitam black, hijau sage, abu muda, pink, peach, milo tan [5]",sada,,,,,
389683474,askalabel,"Sahara by Aska Label - Celana kulot wanita lebar pinggang karet, warna Hitam, Offwhite, Navy, Grey, Seafoam, Sky Blue, Sand [5]",sahara,,,,,
3955083468,askalabel,"Adani by Aska Label - Kaos polos wanita Muslim lengan panjang warna Chalk, Light Khaky, Dusty Rose, Skyblue, Lavender. [8]",adani,,,,,
25211551327,askalabel,Naresvari by Aska Label - Atasan wanita blouse wanita dengan details pleats full kancing busui friendly [6],naresvari,,,,,
3410937714,askalabel,"Astaka by Aska Label - Celana panjang palazo dengan kantong dan pinggang karet warna Grey, Latte, Black, Offwhite [8]",astaka,,,,,
25813578261,askalabel,"Taima by Aska Label - Gamis wanita details pleats maxi dress panjang wanita warna putih, grey, hitam [5]",taima,,,,,
12374253078,askalabel,"Gendhis by Aska Label - Atasan wanita muslim rayon warna putih offwhite, raspberry maroon busui friendly dengan kerah dan full kancing depann manset [7]",gendhis,,,,,
24451622063,askalabel,Armaya by Aska Label - Kemeja wanita kemeja kantor wanita dengan details pleats di belakang [8],armaya,,,,,
41775461044,askalabel,Aneira Top by Aska Label - Atasan wanita dengan details drapery yang manis dengan bahan ceruty yang lembut dan flowy,aneira,,,,,
486606923,askalabel,"Sahara by Aska Label - Celana kulot wanita lebar pinggang karet, warna Hitam, Offwhite, Navy, Grey, Seafoam, Sky Blue, Sand [6]",sahara,,,,,
2090112206,askalabel,"Wiyana by Aska Label - Basic Blouse Wanita Muslim Full Kancing warna Lilac, Navy, Taupe, Light Moss, Olive, Deep Cranberry [8]",wiyana,,,,,
22986058127,askalabel,"Kandara by Aska Label - Celana panjang wanita celana kulot pinggang full karet jumbo warna putih, abu, coksu, hitam [7]",kandara,,,,,
24691645459,askalabel,Pramesthi by Aska Label - Gamis wanita pleats dress plisket wanita busui friendly,pramesthi,,,,,
1839031202,askalabel,"Dian by Aska Label - Atasan kantor basic lengan panjang dan busui friendly warna Putih (Berfuring), Burgundy, Sand, Mint, Mauve [7]",dian,,,,,
1861602591,askalabel,"Taraka by Aska Label - Maxi rok circle swing dengan pinggang karet warna Taupe, Black, Redbud, Navy [8]",taraka,,,,,
6448743172,askalabel,"Kalinda by Aska Label - Atasan blouse wanita basic polos bahan crepe full kancing busui friendly wudhu friendly warna Taupe, Deep Cranberry, Mauve, Lilac, Black [6]",kalinda,,,,,
21675457382,askalabel,"Svasti by Aska Label - Gamis wanita polos bahan crinkle dress wanita Muslim lengan panjang ikat pinggang warna beige, hijau sage, hitam black [7]",svasti,,,,,
19257918187,askalabel,"Daru by Aska Label - Atasan katun knit wanita blouse rajut lengan panjang warna coksu cream, abu, biru dusty [9]",daru,,,,,
26278601763,askalabel,Kama by Aska Label - Gamis wanita kombinasi pleats dress wanita busui friendly syarii,kama,,,,,
5054986920,askalabel,"Adani by Aska Label - Kaos polos wanita Muslim lengan panjang warna Chalk, Light Khaky, Dusty Rose, Skyblue, Lavender [7]",adani,,,,,
7120355528,askalabel,"Basic Sada by Aska Label - Gamis polos dengan kantong dan busui friendly bahan crepe warna putih offwhite, hitam black, hijau sage, abu muda, pink, peach, tan [7]",sada,,,,,
1996667963,askalabel,"Binar by Aska Label - Celana panjang abu basic dengan kantong dan pinggang full karet Light Grey, Black, Sand [7]",binar,,,,,
24931705407,askalabel,"Maula by Aska Label - Tunik wanita full kancing atasan blouse Muslim lengan panjang dengan detail kerut pada lengan warna Dusty Blue, ungu Lilac, Plum, Black [4]",maula,,,,,
27269809636,askalabel,"Maula by Aska Label - Tunik wanita full kancing atasan blouse Muslim lengan panjang dengan detail kerut pada lengan warna Dusty Blue, ungu Lilac, Plum, Black",maula,,,,,
22736970768,askalabel,Adia Niskala by Aska Label - Gamis wanita Eid series lace brokat dengan kombinasi tulle [5],adia,,,,,
23484129758,askalabel,Uma by Aska Label - Kaos olahraga raglan oversized lengan panjang kaos wanita Muslimah [7],uma,,,,,
9801656791,askalabel,"Kirana by Aska Label - Celana plisket dengan pinggang karet warna hitam, coksu [6]",kirana,,,,,
25741856017,askalabel,Athina by Aska Label - Gamis wanita bahan rayon premium busui friendly dress rayon wanita,athina,,,,,
7044930431,askalabel,"Dewari by Aska Label - Atasan basic bahan rayon premium busui friendly warna putih, coksu, biru navy, hitam [6]",dewari,,,,,
25938630309,askalabel,Anggita by Aska Label - Kemeja crinkle wanita blouse wanita dengan details lipit dan kancing depan,anggita,,,,,
25014598616,askalabel,Ayunda by Aska Label - Gamis wanita basic polos dress wanita panjang A Line [5],ayunda,,,,,
